accession	tax_id	scientific_name	description	last_updated	base_count	first_public
AF006567	7234	Drosophila persimilis	Drosophila persimilis alcohol dehydrogenase (Adh) and alcohol dehydrogenase (Adh-dup) genes, complete cds.	2005-04-15	3502	1997-09-11
U65746	7264	Drosophila buzzatii	Drosophila buzzatii alcohol dehydrogenase (Adh-P) pseudogene, and alcohol dehydrogenase 2 (Adh-2) and alcohol dehydrogenase 1 (Adh-1) genes, complete cds.	2005-04-18	8725	1996-10-21
X00607	7240	Drosophila simulans	Drosophila simulans gene for alcohol dehydrogenase	2005-04-18	4607	1985-06-13
M37276	7230	Drosophila mojavensis	Drosophila mojavensis alcohol dehydrogenase-2 (Adh-2) and alcohol dehydrogenase-1 (Adh-1) genes, complete cds.	2006-11-14	8783	1990-09-13
AY279325	7233	Drosophila orena	Drosophila orena alcohol dehydrogenase (Adh) gene, partial cds and alcohol dehydrogenase related (Adhr) gene, complete cds.	2006-11-14	1724	2004-03-31
KU559568	7244	Drosophila virilis	Drosophila virilis strain 15010-1051.0 alcohol dehydrogenase (Adh1) and alcohol dehydrogenase (Adh2) genes, complete cds.	2016-06-24	14750	2016-05-31
M63291	47010	Drosophila silvestris	Drosophila silvestris alcohol dehydrogenase gene, complete cds.	2006-11-14	1635	1991-04-04
X62193	7237	Drosophila pseudoobscura	D.pseudoobscura Adh gene for alcohol dehydrogenase	2006-11-14	3483	1992-10-16
X62220	7237	Drosophila pseudoobscura	D.pseudoobscura Adh gene for alcohol dehydrogenase	2006-11-14	3479	1992-10-16
AY040854	7227	Drosophila melanogaster	Drosophila melanogaster alcohol dehydrogenase gene silencer sequence.	2001-08-19	1180	2001-08-19
JF735882	499227	Drosophila nigromelanica	Drosophila nigromelanica alcohol dehydrogenase gene, partial cds.	2011-10-24	626	2011-10-24
X62214	7237	Drosophila pseudoobscura	D.pseudoobscura Adh gene for alcohol dehydrogenase	2006-11-14	3486	1992-10-16
X62228	7237	Drosophila pseudoobscura	D.pseudoobscura Adh gene for alcohol dehydrogenase	2006-11-14	3464	1992-10-16
M60791	7261	Drosophila adiastola	Drosophila adiastola alcohol dehydrogenase gene, complete cds.	2006-11-14	912	1992-06-06
X62206	7237	Drosophila pseudoobscura	D.pseudoobscura Adh gene for alcohol dehydrogenase	2006-11-14	3499	1992-10-16
X64480	7237	Drosophila pseudoobscura	D.pseudoobscura Adh gene for alcohol dehydrogenase	2006-11-14	3470	1992-10-16
X62204	7237	Drosophila pseudoobscura	D.pseudoobscura Adh gene for alcohol dehydrogenase	2006-11-14	3499	1992-10-16
X62195	7237	Drosophila pseudoobscura	D.pseudoobscura Adh gene for alcohol dehydrogenase	2006-11-14	3499	1992-10-16
X62199	7237	Drosophila pseudoobscura	D.pseudoobscura Adh gene for alcohol dehydrogenase	2006-11-14	3475	1992-10-16
X62226	7237	Drosophila pseudoobscura	D.pseudoobscura Adh gene for alcohol dehydrogenase	2006-11-14	3466	1992-10-16
X64486	7237	Drosophila pseudoobscura	D.pseudoobscura Adh gene for alcohol dehydrogenase	2006-11-14	3475	1992-10-16
AY238778	7229	Drosophila miranda	Drosophila miranda strain SP235 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.	2005-04-16	2042	2003-04-08
AY238777	7229	Drosophila miranda	Drosophila miranda strain SP138 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.	2005-04-16	2042	2003-04-08
AY081440	141217	Drosophila tripunctata	Drosophila tripunctata alcohol dehydrogenase (Adh) gene, partial cds.	2005-04-16	217	2002-08-09
AY750123	7252	Drosophila melanica	Drosophila melanica alcohol dehydrogenase (Adh) gene, partial cds.	2006-07-20	911	2005-12-31
AY750132	55945	Drosophila euronotus	Drosophila euronotus alcohol dehydrogenase (Adh) gene, partial cds.	2006-07-20	911	2005-12-31
AY750144	311480	Drosophila medioconstricta	Drosophila medioconstricta alcohol dehydrogenase (Adh) gene, partial cds.	2006-07-20	911	2005-12-31
DQ471630	381452	Drosophila barutani	Drosophila barutani alcohol dehydrogenase (Adh) gene, partial cds.	2006-07-20	711	2006-07-20
HQ631470	42026	Drosophila bipectinata	Drosophila bipectinata alcohol dehydrogenase (adh) gene, partial cds.	2012-01-02	290	2011-08-30
AF264077	7271	Drosophila nebulosa	Drosophila nebulosa alcohol dehydrogenase (Adh) gene, partial cds.	2005-04-15	405	2000-05-30
AY006411	7235	Drosophila picticornis	Drosophila picticornis alcohol dehydrogenase (Adh) gene, partial cds.	2005-09-26	510	2001-09-04
AY750118	311474	Drosophila longiserrata	Drosophila longiserrata alcohol dehydrogenase (Adh) gene, partial cds.	2006-07-20	911	2005-12-31
DQ471667	30043	Drosophila repleta	Drosophila repleta alcohol dehydrogenase (Adh) gene, partial cds.	2006-07-20	711	2006-07-20
HQ631471	103765	Drosophila bocki	Drosophila bocki alcohol dehydrogenase (adh) gene, partial cds.	2012-01-02	290	2011-08-30
HQ631473	2609304	Drosophila curveaedeagus (nomen nudum)	Drosophila curveadeagus alcohol dehydrogenase (adh) gene, partial cds.	2012-01-02	290	2011-08-30
HQ631484	187394	Drosophila pulchrella	Drosophila pulchrella alcohol dehydrogenase (adh) gene, partial cds.	2012-01-02	290	2011-08-30
